timestamp,glucose,carbs,insulin,source,scenario
0,120.0,,0.0,simulated,baseline
5,120.2,,0.0,simulated,baseline
10,120.1,,0.0,simulated,baseline
15,119.8,,0.0,simulated,baseline
20,120.3,,0.0,simulated,baseline
25,120.0,,0.0,simulated,baseline
30,119.9,,0.0,simulated,baseline
35,120.1,,0.0,simulated,baseline
40,120.2,,0.0,simulated,baseline
45,119.8,,0.0,simulated,baseline
50,120.0,,0.0,simulated,baseline
55,119.9,,0.0,simulated,baseline
60,120.1,60.0,4.0,simulated,standard_meal
65,125.3,,0.0,simulated,standard_meal
70,132.1,,0.0,simulated,standard_meal
75,140.5,,0.0,simulated,standard_meal
80,149.2,,0.0,simulated,standard_meal
85,157.8,,0.0,simulated,standard_meal
90,165.1,,0.0,simulated,standard_meal
95,171.2,,0.0,simulated,standard_meal
100,175.8,,0.0,simulated,standard_meal
105,178.9,,0.0,simulated,standard_meal
110,180.2,,0.0,simulated,standard_meal
115,179.8,,0.0,simulated,standard_meal
120,177.5,,0.0,simulated,standard_meal
125,173.9,,0.0,simulated,standard_meal
130,169.1,,0.0,simulated,standard_meal
135,163.2,,0.0,simulated,standard_meal
140,156.8,,0.0,simulated,standard_meal
145,150.1,,0.0,simulated,standard_meal
150,143.2,,0.0,simulated,standard_meal
155,136.5,,0.0,simulated,standard_meal
160,130.1,,0.0,simulated,standard_meal
165,124.2,,0.0,simulated,standard_meal
170,119.1,,0.0,simulated,standard_meal
175,115.2,,0.0,simulated,standard_meal
180,112.8,,0.0,simulated,standard_meal
