bucket,id,category,component,title,url,doi,citation,rationale,origin_file,access,license
packaged_evidence,ada_2026_glycemic_goals,guideline,validation_targets,Glycemic Goals and Hypoglycemia: Standards of Care in Diabetes—2026,https://doi.org/10.2337/dc26-S006,10.2337/dc26-S006,American Diabetes Association Professional Practice Committee. Diabetes Care. 2026;49(Suppl 1).,Reference for TIR/TBR/TAR target framing and hypoglycemia thresholds in validation profiles.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,ada_2026_diabetes_technology,guideline,cgm_and_aid_context,Diabetes Technology: Standards of Care in Diabetes—2026,https://doi.org/10.2337/dc26-S007,10.2337/dc26-S007,American Diabetes Association Professional Practice Committee. Diabetes Care. 2026;49(Suppl 1).,Reference for CGM and AID operational context used in report language and safeguards.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,attd_2019_time_in_range,consensus,metrics_targets,Clinical Targets for Continuous Glucose Monitoring Data Interpretation,https://doi.org/10.2337/dci19-0028,10.2337/dci19-0028,"Battelino T, Danne T, Bergenstal RM, et al. Diabetes Care. 2019;42(8):1593-1603.",Basis for TIR/TBR/TAR interpretation in analytics and scorecards.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,nejm_2019_control_iq,trial,aid_benchmarking,"Six-Month Randomized, Multicenter Trial of Closed-Loop Control in Type 1 Diabetes",https://doi.org/10.1056/NEJMoa1907863,10.1056/NEJMoa1907863,"Brown SA, et al. N Engl J Med. 2019;381(18):1707-1717.",Reference envelope for realistic AID performance ranges in benchmark narratives.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,adapt_2022_ahcl,trial,aid_benchmarking,Advanced hybrid closed loop therapy versus conventional treatment in adults with type 1 diabetes (ADAPT),https://doi.org/10.1016/S2213-8587(22)00212-1,10.1016/S2213-8587(22)00212-1,"Benhamou PY, et al. Lancet Diabetes Endocrinol. 2022;10(10):720-731.",Adds modern AHCL outcomes for realistic comparator ranges.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,cobry_2010_meal_bolus_timing,trial,prebolus_timing,Timing of Meal Insulin Boluses to Achieve Optimal Postprandial Glycemic Control,https://doi.org/10.1177/193229681000400404,10.1177/193229681000400404,"Cobry E, et al. J Diabetes Sci Technol. 2010;4(3):679-685.",Reference for pre-bolus timing defaults and scenario annotations.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,heise_2017_fiasp_pkpd,pharmacology,insulin_action_profiles,A Faster-Onset Formulation of Insulin Aspart,https://doi.org/10.1007/s40262-017-0510-8,10.1007/s40262-017-0510-8,"Heise T, et al. Clin Pharmacokinet. 2017;56(5):551-559.",Reference for rapid insulin onset assumptions in therapy profiles.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,klaff_2020_urli_pkpd,pharmacology,insulin_action_profiles,Ultra Rapid Lispro Demonstrates Accelerated Pharmacokinetics and Pharmacodynamics,https://doi.org/10.1111/dom.14049,10.1111/dom.14049,"Klaff LJ, et al. Diabetes Obes Metab. 2020;22(10):1799-1807.",Reference for ultra-rapid insulin variants and action-curve configuration.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,wentholt_2004_cgm_lag,sensor,cgm_lag_and_validator,How glucose sensors can facilitate therapy in diabetes management,https://doi.org/10.1089/dia.2004.6.615,10.1089/dia.2004.6.615,"Wentholt IME, et al. Diabetes Technol Ther. 2004;6(5):615-624.",Background reference for physiologic CGM lag and fail-soft validator behavior.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,dalla_man_2007_meal_model,model,virtual_patient_dynamics,Meal simulation model of the glucose-insulin system,https://doi.org/10.1109/TBME.2007.893506,10.1109/TBME.2007.893506,"Dalla Man C, Rizza RA, Cobelli C. IEEE Trans Biomed Eng. 2007;54(10):1740-1749.",Reference foundation for physiologic meal disturbance modeling.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,visentin_2018_uvapadova,model,simulation_validation,The University of Virginia/Padova Type 1 Diabetes Simulator Matches the 2014 DMMS.R,https://doi.org/10.1177/1932296818757747,10.1177/1932296818757747,"Visentin R, et al. J Diabetes Sci Technol. 2018;12(5):1074-1083.",Reference for simulator validation methodology and in-silico credibility.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,mujahid_2024_generative_t1d_simulator,model,simulation_realism,Generative deep learning for the development of a type 1 diabetes simulator,https://doi.org/10.1038/s43856-024-00476-0,10.1038/s43856-024-00476-0,"Mujahid O, Contreras I, Beneyto A, Vehi J. Commun Med (Lond). 2024;4:51.",Reference for modern data-driven T1D simulator realism framing and the limits of purely physiological approximations.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,riddell_2017_exercise_consensus,consensus,exercise_stress_scenarios,Exercise management in type 1 diabetes: a consensus statement,https://doi.org/10.1016/S2213-8587(17)30014-1,10.1016/S2213-8587(17)30014-1,"Riddell MC, et al. Lancet Diabetes Endocrinol. 2017;5(5):377-390.",Reference for exercise stress scenario defaults and safety interpretation.,src/iints/presets/evidence_sources.yaml,,
packaged_evidence,marling_2020_ohiot1dm,dataset,predictor_training_data,OhioT1DM Dataset for Blood Glucose Level Prediction: Update 2020,http://ceur-ws.org/Vol-2675/paper2.pdf,,"Marling C, Bunescu R. CEUR Workshop Proc. 2020;2675.",Primary public dataset used for subject-level predictor training and evaluation.,src/iints/presets/evidence_sources.yaml,,
dataset_registry,sample,dataset,data_import_realism_training,IINTS Sample CGM (Bundled),,,IINTS-AF Team. IINTS Sample CGM (bundled). Accessed 2026-04-30.,"Bundled full-day demo trace with meal and bolus annotations for quickstarts, reporting, and offline demos.",src/iints/data/datasets.json,bundled,Demo-only (bundled with SDK)
dataset_registry,ohio_t1dm,dataset,data_import_realism_training,OhioT1DM Dataset,https://webpages.charlotte.edu/rbunescu/data/ohiot1dm/OhioT1DM-dataset.html,,"Marling C, Bunescu R. The OhioT1DM Dataset for Blood Glucose Level Prediction: Update 2020. The 6th International Workshop on Knowledge Discovery from Healthcare Data (KDH). Dataset access page accessed 2026-04-30. https://webpages.charlotte.edu/rbunescu/data/ohiot1dm/OhioT1DM-dataset.html","Eight weeks each for 12 people with type 1 diabetes; includes CGM, fingersticks, basal/bolus insulin, meals, exercise, sleep, work, stress, illness, and fitness-band physiology.",src/iints/data/datasets.json,request,Research access on request (see dataset page)
dataset_registry,diatrend,dataset,data_import_realism_training,DiaTrend Dataset,https://doi.org/10.7303/syn38187184,,"Prioleau T, Bartolome A, Comi R, Stanger C. DiaTrend: A dataset from advanced diabetes technology to enable development of novel analytic solutions. Scientific Data. 2023;10:556. doi:10.1038/s41597-023-02469-5. Synapse record accessed 2026-04-30 via https://doi.org/10.7303/syn38187184","Controlled-access CGM and insulin pump dataset from 54 people with type 1 diabetes, with carb logs, bolus data, and selected pump settings.",src/iints/data/datasets.json,request,Controlled access via Synapse
dataset_registry,t1d_uom,dataset,data_import_realism_training,T1D-UOM Longitudinal Multimodal Dataset,https://doi.org/10.5281/zenodo.15806142,10.5281/zenodo.15806142,"Alsuhaymi A, Bilal A, Gasca Garcia D, Kongdee R, Lubasinski N, Thabit H, Nutter PW, Harper S. A Longitudinal Multimodal Dataset of Type 1 Diabetes. Scientific Data. 2025;12:1379. doi:10.1038/s41597-025-05695-1. Zenodo record accessed 2026-04-30 via https://doi.org/10.5281/zenodo.15806142","Twelve-week multimodal dataset from 17 people with type 1 diabetes, including CGM, basal and bolus insulin, meal macronutrients, physical activity, and sleep.",src/iints/data/datasets.json,manual,Open dataset on Zenodo (see record terms)
dataset_registry,t1d_granada,dataset,data_import_realism_training,T1DiabetesGranada Dataset,https://doi.org/10.5281/zenodo.10050944,10.5281/zenodo.10050944,"Rodriguez-Leon C, Aviles-Perez MD, Banos O, Quesada-Charneco M, Lopez-Ibarra Lozano PJ, Villalonga C, Munoz-Torres M. T1DiabetesGranada: a longitudinal multi-modal dataset of type 1 diabetes mellitus. Scientific Data. 2023;10:916. doi:10.1038/s41597-023-02737-4. Zenodo record accessed 2026-04-30 via https://doi.org/10.5281/zenodo.10050944","Longitudinal flash glucose, demographic, diagnostic, and biochemical dataset spanning four years and 736 people with type 1 diabetes.",src/iints/data/datasets.json,request,Zenodo Data Usage Agreement / specific-permission access
dataset_registry,aide_t1d,dataset,data_import_realism_training,AIDE T1D Public Dataset,https://public.jaeb.org/datasets/,,Jaeb Center for Health Research. Automated Insulin Delivery in Elderly with Type 1 Diabetes (AIDE T1D) Public Dataset. Public Study Websites. Accessed 2026-02-16. https://public.jaeb.org/datasets/,Automated Insulin Delivery in Elderly with Type 1 Diabetes (AIDE T1D) public dataset.,src/iints/data/datasets.json,public-download,Public dataset (see Jaeb public datasets page)
dataset_registry,pedap,dataset,data_import_realism_training,PEDAP Public Dataset,https://public.jaeb.org/datasets/,,"Jaeb Center for Health Research. Pediatric Artificial Pancreas (PEDAP) Public Dataset, Release 5. Public Study Websites. Accessed 2026-02-16. https://public.jaeb.org/datasets/",Pediatric Artificial Pancreas (PEDAP) public dataset (Release 5).,src/iints/data/datasets.json,public-download,Public dataset (see Jaeb public datasets page)
dataset_registry,azt1d,dataset,data_import_realism_training,AZT1D: A Real-World Dataset for Type 1 Diabetes,https://data.mendeley.com/datasets/gk9m674wcx/1,10.17632/gk9m674wcx.1,"Khamesian S, Arefeen A, Thompson BM, Grando A, Ghasemzadeh H. AZT1D: A Real-World Dataset for Type 1 Diabetes. Mendeley Data, v1, 2025. doi:10.17632/gk9m674wcx.1",Real-world T1D dataset (CGM + insulin + meals) from 25 individuals on AID systems.,src/iints/data/datasets.json,manual,CC BY 4.0
dataset_registry,hupa_ucm,dataset,data_import_realism_training,HUPA-UCM Diabetes Dataset,https://data.mendeley.com/datasets/3hbcscwz44/1,10.17632/3hbcscwz44.1,"Hidalgo JI, Alvarado J, Botella M, Aramendi A, Velasco JM, Garnica O. HUPA-UCM Diabetes Dataset. Mendeley Data, v1, 2024. doi:10.17632/3hbcscwz44.1","Free-living T1D dataset with CGM, insulin, meals, and activity data.",src/iints/data/datasets.json,manual,CC BY 4.0
dataset_registry,openaps_data_commons,dataset,data_import_realism_training,OpenAPS Data Commons,https://openaps.org/outcomes/data-commons/,,OpenAPS. OpenAPS Data Commons. Accessed 2026-02-16. https://openaps.org/outcomes/data-commons/,Community-contributed open APS data commons.,src/iints/data/datasets.json,request,Data use agreement (see OpenAPS)
dataset_registry,tidepool_bigdata,dataset,data_import_realism_training,Tidepool Big Data Donation,https://www.tidepool.org/bigdata,,Tidepool. Big Data Donation Project. Accessed 2026-02-16. https://www.tidepool.org/bigdata,Large-scale real-world diabetes data donation program.,src/iints/data/datasets.json,request,Research collaboration / approval required
dataset_registry,niddk_central,dataset,data_import_realism_training,NIDDK Central Repository,https://repository.niddk.nih.gov/,,NIDDK Central Repository. Accessed 2026-02-16. https://repository.niddk.nih.gov/,NIH/NIDDK centralized repository of clinical diabetes studies.,src/iints/data/datasets.json,request,Repository access agreement
dataset_registry,t1d_exchange,dataset,data_import_realism_training,T1D Exchange Clinic Registry,https://datacatalog.med.nyu.edu/dataset/10129,,NYU Data Catalog. T1D Exchange Clinic Registry. Accessed 2026-02-16. https://datacatalog.med.nyu.edu/dataset/10129,Large clinical registry for type 1 diabetes research.,src/iints/data/datasets.json,request,Data request / approval required
docs_only_local_ai,ollama_linux_install,runtime,local_ai_setup,Ollama Linux Installation Documentation,https://docs.ollama.com/linux,,Ollama. Linux Installation Documentation.,Grounds local Ollama setup guidance for user-managed AI demos.,docs/EVIDENCE_BASE.md,,
docs_only_local_ai,mistral_2025_ministral_3_announcement,model_card,local_ai_model_selection,Mistral AI: Introducing Mistral 3,https://mistral.ai/news/mistral-3,,Mistral AI. Introducing Mistral 3.,Used to explain local open model family choices in SDK docs.,docs/EVIDENCE_BASE.md,,
docs_only_local_ai,mistral_2025_ministral_3_3b,model_card,local_ai_model_selection,Mistral AI Docs: Ministral 3 3B,https://docs.mistral.ai/models/ministral-3-3b-25-12,,Mistral AI Docs. Ministral 3 3B.,Used for small local AI hardware guidance.,docs/EVIDENCE_BASE.md,,
docs_only_local_ai,mistral_2025_ministral_3_8b,model_card,local_ai_model_selection,Mistral AI Docs: Ministral 3 8B,https://docs.mistral.ai/models/ministral-3-8b-25-12,,Mistral AI Docs. Ministral 3 8B.,Used for balanced local AI hardware guidance.,docs/EVIDENCE_BASE.md,,
docs_only_local_ai,mistral_2025_ministral_3_14b,model_card,local_ai_model_selection,Mistral AI Docs: Ministral 3 14B,https://docs.mistral.ai/models/ministral-3-14b-25-12,,Mistral AI Docs. Ministral 3 14B.,Used for larger local AI workstation guidance.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,bergenstal_2020_780g,trial,medtronic_780g_emulation_context,Safety of a Hybrid Closed-Loop Insulin Delivery System in Patients With Type 1 Diabetes,https://doi.org/10.1056/NEJMoa2003479,10.1056/NEJMoa2003479,"Bergenstal RM, et al. Safety of a Hybrid Closed-Loop Insulin Delivery System in Patients With Type 1 Diabetes.",Context reference for 780G-style emulator notes; not proprietary algorithm reproduction.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,fda_k193510_780g,regulatory,medtronic_780g_emulation_context,U.S. FDA 510(k) K193510 - MiniMed 780G System,https://www.accessdata.fda.gov/,,U.S. FDA. 510(k) K193510 - MiniMed 780G System.,Regulatory context for device-emulation documentation.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,medtronic_780g_user_guide,technical_manual,medtronic_780g_emulation_context,Medtronic MiniMed 780G User Guide / Product Documentation,https://www.medtronicdiabetes.com/,,Medtronic Diabetes. MiniMed 780G User Guide / Product Documentation.,Public product-documentation context for non-proprietary emulator notes.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,brown_2019_control_iq_dtt,trial,tandem_control_iq_emulation_context,Performance of Tandem t:slim X2 with Control-IQ technology in the IDCL trial,https://doi.org/10.1089/dia.2019.0226,10.1089/dia.2019.0226,"Brown SA, et al. Performance of Tandem t:slim X2 with Control-IQ technology in the International Diabetes Closed-Loop trial.",Context reference for Control-IQ style emulator notes.,docs/EVIDENCE_BASE.md,,
